Starter letter	Language/Country	Translation document (link)	Estimated completion date	Slack channel	Slack usernames	Translation status	Ready to Publish on Medium?	(Optional) Medium Author	Published on Medium (Link)	Who is posting to medium?
US 2020	Albanian	Albanian - US 2020	June 7 (completed)	#translation-albanian	@Bee Prel	PUBLISHED	YES		https://lettersforblacklives.com/mami-babi-daja-axha-tezja-halla-gjyshi-gjyshja-familja-edab31c5d8a?source=collection_category---6------0-----------------------	Joy
US 2020	Arabic	Arabic - US 2020		#translation-arabic		NOT STARTED				
US 2020	Armenian (Eastern)	Eastern Armenian - US 2020		#translation-armenian	@Mariam Avagyan @Diana Abagyan	PUBLISHED	Draft	N/A	https://lettersforblacklives.com/%D5%B4%D5%A1%D5%B4%D5%A1-%D5%BA%D5%A1%D5%BA%D5%A1-%D6%84%D5%A5%D5%BC%D5%AB-%D5%B4%D5%B8%D6%80%D5%A1%D6%84%D5%B8%D6%82%D5%B5%D6%80-%D5%B0%D5%B8%D6%80%D5%A1%D6%84%D5%B8%D6%82%D5%B5%D6%80-%D5%B0%D5%B8%D6%80%D5%A5%D5%B2%D5%A2%D5%A1%D5%B5%D6%80-%D5%BF%D5%A1%D5%BF%D5%AB%D5%AF-%D5%BA%D5%A1%D5%BA%D5%AB%D5%AF-%D5%A8%D5%B6%D5%BF%D5%A1%D5%B6%D5%AB%D6%84-1721240baa05?source=collection_category---6------0-----------------------	Joy
US 2020	Armenian (Western)	Western Armenian - US 2020		#translation-armenian-western	@Mariam Avagyan @Diana Abagyan  @Lillian Avedian	INITIAL STAGES				
US 2020	Bangla	Bangla - US 2020		#translation-bengali	 @Bedatri @Atika @Naima	PUBLISHED	Create Draft		https://lettersforblacklives.com/%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A7%9F-%E0%A6%AE%E0%A6%BE-%E0%A6%AC%E0%A6%BE%E0%A6%AC%E0%A6%BE-%E0%A6%86%E0%A6%82%E0%A6%95%E0%A7%87%E0%A6%B2-%E0%A6%86%E0%A6%A8%E0%A7%8D%E0%A6%9F%E0%A6%BF-%E0%A6%AA%E0%A6%B0%E0%A6%BF%E0%A6%AC%E0%A6%BE%E0%A6%B0-%E0%A6%95%E0%A6%BE%E0%A6%B2%E0%A7%8B-%E0%A6%9C%E0%A7%80%E0%A6%AC%E0%A6%A8-%E0%A6%AE%E0%A7%82%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%AC%E0%A6%BE%E0%A6%A8-%E0%A6%86%E0%A6%AE%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B0-%E0%A6%95%E0%A6%BE%E0%A6%9B%E0%A7%87%E0%A6%93-b3247cc648d5?source=collection_category---6------0-----------------------	
US 2020	Bosnian	Bosnian - US 2020	June 7	#translation-bosnian	@Yvanna @Merisa Nisic	PUBLISHED	Draft	N/A	https://lettersforblacklives.com/dragi-roditelji-i-rodbino-f222dbd4010c	Joy
US 2020	Burmese	Burmese - US 2020	June 6	#translation-burmese	@waikhine @Aung Kyaw @tinmoe @alicezaw	PUBLISHED	YES	N/A	https://lettersforblacklives.com/%E1%80%81%E1%80%BB%E1%80%85%E1%80%BA%E1%80%9C%E1%80%BE%E1%80%85%E1%80%BD%E1%80%AC%E1%80%9E%E1%80%B1%E1%80%AC-%E1%80%99%E1%80%B1%E1%80%99%E1%80%B1-%E1%80%96%E1%80%B1%E1%80%96%E1%80%B1-%E1%80%A6%E1%80%B8%E1%80%9C%E1%80%B1%E1%80%B8-%E1%80%A1%E1%80%92%E1%80%B1%E1%80%AB%E1%80%BA-%E1%80%98%E1%80%AD%E1%80%AF%E1%80%B8%E1%80%98%E1%80%AD%E1%80%AF%E1%80%B8-%E1%80%98%E1%80%BD%E1%80%AC%E1%80%B8%E1%80%98%E1%80%BD%E1%80%AC%E1%80%B8-%E1%80%8A%E1%80%AE%E1%80%A1%E1%80%85%E1%80%BA%E1%80%80%E1%80%AD%E1%80%AF%E1%80%99%E1%80%B1%E1%80%AC%E1%80%84%E1%80%BA%E1%80%94%E1%80%BE%E1%80%99-%E1%80%86%E1%80%BD%E1%80%B1%E1%80%99%E1%80%BB%E1%80%AD%E1%80%AF%E1%80%B8%E1%80%99%E1%80%BB%E1%80%AC%E1%80%B8%E1%80%9E%E1%80%AD%E1%80%AF%E1%80%B7-ab952e363c49	Joy
US 2020	Cebuano	Cebuano - US 2020		#translation-cebuano		INITIAL STAGES				
US 2020	Chinese Simplified	Chinese Simplified - US 2020	June 7	#translation-chinesesimplified	@maggieql  @Lucy Yao	PUBLISHED	Yes	@lettersforblchinese	https://lettersforblacklives.com/%E4%BA%B2%E7%88%B1%E7%9A%84%E7%88%B8%E7%88%B8%E5%A6%88%E5%A6%88-%E5%8F%94%E5%8F%94%E9%98%BF%E5%A7%A8-%E7%88%B7%E7%88%B7%E5%A5%B6%E5%A5%B6-%E5%85%AC%E5%85%AC%E5%A9%86%E5%A9%86-%E5%AE%B6%E4%BA%BA%E4%BB%AC-%E9%BB%91%E4%BA%BA%E7%9A%84%E5%91%BD%E4%B9%9F%E6%98%AF%E5%91%BD-e0ed03b69384	Joy gave writer access
US 2020	Chinese Traditional	Chinese (Traditional) - US 2020	June 7	#translation-traditionalchinese	@monaweng @danliu @florachang	PUBLISHED	Yes	@lettersforblchinese	https://lettersforblacklives.com/%E8%A6%AA%E6%84%9B%E7%9A%84%E7%88%B8%E7%88%B8%E5%AA%BD%E5%AA%BD-%E5%8F%94%E5%8F%94%E9%98%BF%E5%A7%A8-%E7%88%BA%E7%88%BA%E5%A5%B6%E5%A5%B6-%E5%85%AC%E5%85%AC%E5%A9%86%E5%A9%86-%E5%AE%B6%E4%BA%BA%E5%80%91-%E9%BB%91%E4%BA%BA%E7%9A%84%E5%91%BD%E4%B9%9F%E6%98%AF%E5%91%BD-1cb90ecb6ac0	Joy gave writer access
